Division_Subdivision,Sport,Title/Position,Gender_Race/Ethnicity,2012,2013,2014,2015,2016,2017,2018,2019
Division I_FBS_NonAG,Women's Field Hockey,Assistant Coach,Male-Black,0,0,0,0,0,0,1,0
Division I_FBS_NonAG,Women's Field Hockey,Assistant Coach,Male-Other,4,4,3,3,2,1,1,2
Division I_FBS_NonAG,Women's Field Hockey,Assistant Coach,Male-White,3,3,3,1,1,2,4,3
Division I_FBS_NonAG,Women's Field Hockey,Head Coach,Female-Other,2,2,2,1,1,0,0,1
Division I_FBS_NonAG,Women's Field Hockey,Head Coach,Female-White,5,6,6,5,7,7,6,7
Division I_FBS_NonAG,Women's Field Hockey,Head Coach,Male-Other,2,1,0,1,1,2,2,1
Division I_FBS_NonAG,Women's Field Hockey,Head Coach,Male-White,1,1,2,1,1,1,2,1
Division I_FBS_NonAG,Women's Field Hockey,Student-Athlete,Female-Black,1,2,2,4,4,3,9,3
Division I_FBS_NonAG,Women's Field Hockey,Student-Athlete,Female-Other,40,46,48,43,50,57,49,49
Division I_FBS_NonAG,Women's Field Hockey,Student-Athlete,Female-White,183,184,188,137,177,167,187,186
Division I_FBS_NonAG,Women's Golf,Assistant Coach,Female-Black,0,0,0,2,0,1,0,0
Division I_FBS_NonAG,Women's Golf,Assistant Coach,Female-Other,1,3,4,4,6,8,7,11
Division I_FBS_NonAG,Women's Golf,Assistant Coach,Female-White,19,16,19,19,23,23,22,19
Division I_FBS_NonAG,Women's Golf,Assistant Coach,Male-Other,3,2,0,0,2,0,1,0
Division I_FBS_NonAG,Women's Golf,Assistant Coach,Male-White,7,13,11,13,14,13,10,14
Division I_FBS_NonAG,Women's Golf,Head Coach,Female-Black,0,0,0,0,0,0,1,1
Division I_FBS_NonAG,Women's Golf,Head Coach,Female-Other,4,3,3,5,6,4,3,2
Division I_FBS_NonAG,Women's Golf,Head Coach,Female-White,31,32,31,32,32,36,37,34
Division I_FBS_NonAG,Women's Golf,Head Coach,Male-Black,0,0,0,0,0,0,0,1
Division I_FBS_NonAG,Women's Golf,Head Coach,Male-Other,0,0,1,0,0,0,0,1
Division I_FBS_NonAG,Women's Golf,Head Coach,Male-White,12,11,14,12,14,12,14,15
Division I_FBS_NonAG,Women's Golf,Student-Athlete,Female-Black,3,4,8,12,5,3,2,2
Division I_FBS_NonAG,Women's Golf,Student-Athlete,Female-Other,136,131,139,149,185,202,195,208
Division I_FBS_NonAG,Women's Golf,Student-Athlete,Female-White,249,261,266,246,264,230,236,218
Division I_FBS_NonAG,Women's Golf,Student-Athlete,Male-Other,1,0,0,0,0,0,0,0
Division I_FBS_NonAG,Women's Golf,Student-Athlete,Male-White,0,0,9,0,0,0,0,0
Division I_FBS_NonAG,Women's Gymnastics,Assistant Coach,Female-Black,1,0,0,1,1,2,2,2
Division I_FBS_NonAG,Women's Gymnastics,Assistant Coach,Female-Other,2,1,1,1,2,0,0,0
Division I_FBS_NonAG,Women's Gymnastics,Assistant Coach,Female-White,20,18,18,10,11,14,15,12
Division I_FBS_NonAG,Women's Gymnastics,Assistant Coach,Male-Black,0,0,0,1,0,0,0,0
Division I_FBS_NonAG,Women's Gymnastics,Assistant Coach,Male-Other,0,0,0,0,0,0,1,2
Division I_FBS_NonAG,Women's Gymnastics,Assistant Coach,Male-White,6,8,6,9,8,9,10,9
Division I_FBS_NonAG,Women's Gymnastics,Head Coach,Female-Other,0,0,0,0,1,1,1,0
Division I_FBS_NonAG,Women's Gymnastics,Head Coach,Female-White,5,3,5,5,5,6,6,7
Division I_FBS_NonAG,Women's Gymnastics,Head Coach,Male-Black,1,1,1,1,1,0,1,0
Division I_FBS_NonAG,Women's Gymnastics,Head Coach,Male-White,11,12,9,8,7,7,6,7
Division I_FBS_NonAG,Women's Gymnastics,Student-Athlete,Female-Black,21,20,18,16,15,19,18,20
Division I_FBS_NonAG,Women's Gymnastics,Student-Athlete,Female-Other,46,41,46,37,38,54,52,53
Division I_FBS_NonAG,Women's Gymnastics,Student-Athlete,Female-White,236,247,230,212,184,170,174,177
Division I_FBS_NonAG,Women's Ice Hockey,Assistant Coach,Female-Other,1,1,0,0,0,1,1,1
Division I_FBS_NonAG,Women's Ice Hockey,Assistant Coach,Female-White,2,2,1,1,1,1,0,0
Division I_FBS_NonAG,Women's Ice Hockey,Assistant Coach,Male-Other,1,1,0,0,0,0,0,0
Division I_FBS_NonAG,Women's Ice Hockey,Assistant Coach,Male-White,0,0,1,1,1,1,1,1
Division I_FBS_NonAG,Women's Ice Hockey,Head Coach,Female-White,1,1,0,0,0,0,0,0
Division I_FBS_NonAG,Women's Ice Hockey,Head Coach,Male-White,1,1,1,1,1,1,1,1
Division I_FBS_NonAG,Women's Ice Hockey,Student-Athlete,Female-Other,12,18,15,14,14,13,15,15
Division I_FBS_NonAG,Women's Ice Hockey,Student-Athlete,Female-White,36,25,10,11,10,10,11,8
Division I_FBS_NonAG,Women's Lacrosse,Assistant Coach,Female-Other,1,2,2,5,2,2,3,2
Division I_FBS_NonAG,Women's Lacrosse,Assistant Coach,Female-White,18,16,16,7,16,16,20,26
Division I_FBS_NonAG,Women's Lacrosse,Assistant Coach,Male-Other,0,0,0,1,0,0,0,0
Division I_FBS_NonAG,Women's Lacrosse,Assistant Coach,Male-White,2,2,0,2,3,2,1,0
Division I_FBS_NonAG,Women's Lacrosse,Head Coach,Female-Black,1,1,1,1,1,1,1,1
Division I_FBS_NonAG,Women's Lacrosse,Head Coach,Female-Other,1,1,1,0,0,0,0,0
Division I_FBS_NonAG,Women's Lacrosse,Head Coach,Female-White,9,8,7,6,9,9,10,12
Division I_FBS_NonAG,Women's Lacrosse,Head Coach,Male-White,1,1,0,0,0,0,0,0
Division I_FBS_NonAG,Women's Lacrosse,Student-Athlete,Female-Black,2,2,4,7,12,10,13,11
Division I_FBS_NonAG,Women's Lacrosse,Student-Athlete,Female-Other,33,48,29,18,29,33,44,44
Division I_FBS_NonAG,Women's Lacrosse,Student-Athlete,Female-White,262,262,251,210,291,284,322,396
Division I_FBS_NonAG,Women's Rifle,Assistant Coach,Female-White,0,0,1,1,0,1,0,0
Division I_FBS_NonAG,Women's Rifle,Head Coach,Female-White,2,1,1,1,1,1,1,1
Division I_FBS_NonAG,Women's Rifle,Head Coach,Male-White,1,1,1,1,1,1,1,1
Division I_FBS_NonAG,Women's Rifle,Student-Athlete,Female-Black,0,1,0,1,1,1,1,0
Division I_FBS_NonAG,Women's Rifle,Student-Athlete,Female-Other,10,5,10,6,4,3,0,4
Division I_FBS_NonAG,Women's Rifle,Student-Athlete,Female-White,19,11,13,10,8,11,12,9
Division I_FBS_NonAG,Women's Rugby,Assistant Coach,Female-White,0,0,0,0,0,1,1,1
Division I_FBS_NonAG,Women's Rugby,Assistant Coach,Male-White,0,0,0,0,1,0,1,1
Division I_FBS_NonAG,Women's Rugby,Head Coach,Male-White,0,0,0,0,1,1,1,1
Division I_FBS_NonAG,Women's Rugby,Student-Athlete,Female-Black,0,0,0,0,6,11,10,11
Division I_FBS_NonAG,Women's Rugby,Student-Athlete,Female-Other,0,0,0,0,9,4,2,3
Division I_FBS_NonAG,Women's Rugby,Student-Athlete,Female-White,0,0,0,0,25,29,32,34
Division I_FBS_NonAG,Women's Softball,Assistant Coach,Female-Black,3,0,3,2,5,4,3,1
Division I_FBS_NonAG,Women's Softball,Assistant Coach,Female-Other,12,15,14,11,16,14,10,12
Division I_FBS_NonAG,Women's Softball,Assistant Coach,Female-White,72,70,69,77,73,75,71,76
Division I_FBS_NonAG,Women's Softball,Assistant Coach,Male-Black,1,1,3,2,3,2,4,2
Division I_FBS_NonAG,Women's Softball,Assistant Coach,Male-Other,0,3,2,2,2,3,5,4
Division I_FBS_NonAG,Women's Softball,Assistant Coach,Male-White,18,16,22,19,17,26,23,25
Division I_FBS_NonAG,Women's Softball,Head Coach,Female-Black,1,2,2,1,1,1,0,0
Division I_FBS_NonAG,Women's Softball,Head Coach,Female-Other,1,4,2,2,3,3,4,3
Division I_FBS_NonAG,Women's Softball,Head Coach,Female-White,37,32,34,34,34,35,35,33
Division I_FBS_NonAG,Women's Softball,Head Coach,Male-Other,2,2,0,1,1,0,1,1
Division I_FBS_NonAG,Women's Softball,Head Coach,Male-White,15,14,13,12,13,14,14,17
Division I_FBS_NonAG,Women's Softball,Student-Athlete,Female-Black,58,57,56,55,56,69,72,71
Division I_FBS_NonAG,Women's Softball,Student-Athlete,Female-Other,233,235,229,254,254,293,306,310
Division I_FBS_NonAG,Women's Softball,Student-Athlete,Female-White,781,782,805,811,844,855,862,844
Division I_FBS_NonAG,Women's Softball,Student-Athlete,Male-Other,1,0,0,0,0,0,0,0
Division I_FBS_NonAG,Women's Skiing,Assistant Coach,Male-Other,1,1,1,1,1,0,0,1
Division I_FBS_NonAG,Women's Skiing,Assistant Coach,Male-White,1,1,0,0,1,4,1,1
Division I_FBS_NonAG,Women's Skiing,Head Coach,Male-White,1,1,1,1,1,1,1,1
Division I_FBS_NonAG,Women's Skiing,Student-Athlete,Female-Other,8,8,8,8,7,7,4,1
Division I_FBS_NonAG,Women's Skiing,Student-Athlete,Female-White,2,3,3,3,5,4,4,9
Division I_FBS_NonAG,Women's Soccer,Assistant Coach,Female-Black,0,1,2,0,2,3,2,5
Division I_FBS_NonAG,Women's Soccer,Assistant Coach,Female-Other,9,3,7,9,12,12,10,16
Division I_FBS_NonAG,Women's Soccer,Assistant Coach,Female-White,49,50,55,47,54,50,51,45
Division I_FBS_NonAG,Women's Soccer,Assistant Coach,Male-Black,1,0,0,0,0,0,1,1
Division I_FBS_NonAG,Women's Soccer,Assistant Coach,Male-Other,10,14,7,15,8,6,14,12
Division I_FBS_NonAG,Women's Soccer,Assistant Coach,Male-White,50,51,54,52,53,61,54,58
Division I_FBS_NonAG,Women's Soccer,Head Coach,Female-Black,0,0,0,0,0,0,0,1
Division I_FBS_NonAG,Women's Soccer,Head Coach,Female-Other,3,3,1,1,3,5,6,5
Division I_FBS_NonAG,Women's Soccer,Head Coach,Female-White,15,12,13,12,13,13,14,15
Division I_FBS_NonAG,Women's Soccer,Head Coach,Male-Black,3,2,4,2,3,3,2,2
Division I_FBS_NonAG,Women's Soccer,Head Coach,Male-Other,6,7,3,4,3,5,5,5
Division I_FBS_NonAG,Women's Soccer,Head Coach,Male-White,34,36,38,40,40,38,36,36
Division I_FBS_NonAG,Women's Soccer,Student-Athlete,Female-Black,63,65,82,75,96,83,110,112
Division I_FBS_NonAG,Women's Soccer,Student-Athlete,Female-Other,384,367,339,399,457,480,503,534
Division I_FBS_NonAG,Women's Soccer,Student-Athlete,Female-White,1223,1188,1233,1162,1189,1222,1219,1162
Division I_FBS_NonAG,Women's Sand Volleyball,Assistant Coach,Female-Black,0,2,1,1,1,0,0,0
Division I_FBS_NonAG,Women's Sand Volleyball,Assistant Coach,Female-Other,0,0,1,3,1,1,3,2
Division I_FBS_NonAG,Women's Sand Volleyball,Assistant Coach,Female-White,1,3,3,5,4,7,4,8
Division I_FBS_NonAG,Women's Sand Volleyball,Assistant Coach,Male-Black,0,1,1,1,1,0,0,0
Division I_FBS_NonAG,Women's Sand Volleyball,Assistant Coach,Male-Other,1,1,0,1,1,2,1,2
Division I_FBS_NonAG,Women's Sand Volleyball,Assistant Coach,Male-White,2,0,1,3,2,5,5,4
Division I_FBS_NonAG,Women's Sand Volleyball,Head Coach,Female-Black,1,1,1,1,1,1,1,1
Division I_FBS_NonAG,Women's Sand Volleyball,Head Coach,Female-Other,0,0,0,0,0,0,1,1
Division I_FBS_NonAG,Women's Sand Volleyball,Head Coach,Female-White,0,1,2,3,3,2,2,4
Division I_FBS_NonAG,Women's Sand Volleyball,Head Coach,Male-Other,1,1,1,0,0,0,0,0
Division I_FBS_NonAG,Women's Sand Volleyball,Head Coach,Male-White,2,3,4,6,6,7,6,6
Division I_FBS_NonAG,Women's Sand Volleyball,Student-Athlete,Female-Black,3,2,2,8,4,5,4,4
Division I_FBS_NonAG,Women's Sand Volleyball,Student-Athlete,Female-Other,30,40,48,41,46,53,60,69
Division I_FBS_NonAG,Women's Sand Volleyball,Student-Athlete,Female-White,24,51,78,118,102,107,114,124
Division I_FBS_NonAG,Women's Swimming,Assistant Coach,Female-Black,1,1,0,0,0,1,0,0
Division I_FBS_NonAG,Women's Swimming,Assistant Coach,Female-Other,2,4,7,6,6,7,8,12
Division I_FBS_NonAG,Women's Swimming,Assistant Coach,Female-White,41,38,34,35,33,36,32,30
Division I_FBS_NonAG,Women's Swimming,Assistant Coach,Male-Black,1,0,2,1,1,1,1,1
Division I_FBS_NonAG,Women's Swimming,Assistant Coach,Male-Other,8,9,5,7,7,7,11,10
Division I_FBS_NonAG,Women's Swimming,Assistant Coach,Male-White,62,49,54,48,48,53,49,38
Division I_FBS_NonAG,Women's Swimming,Head Coach,Female-Black,0,0,0,0,0,0,0,1
Division I_FBS_NonAG,Women's Swimming,Head Coach,Female-Other,1,2,0,0,0,1,0,0
Division I_FBS_NonAG,Women's Swimming,Head Coach,Female-White,9,6,8,9,8,12,13,10
Division I_FBS_NonAG,Women's Swimming,Head Coach,Male-Black,0,0,0,0,0,0,0,1
Division I_FBS_NonAG,Women's Swimming,Head Coach,Male-Other,3,2,2,2,3,0,1,1
Division I_FBS_NonAG,Women's Swimming,Head Coach,Male-White,32,37,32,31,30,27,26,27
Division I_FBS_NonAG,Women's Swimming,Student-Athlete,Female-Black,6,11,11,10,12,12,16,13
Division I_FBS_NonAG,Women's Swimming,Student-Athlete,Female-Other,286,283,252,256,276,306,320,324
Division I_FBS_NonAG,Women's Swimming,Student-Athlete,Female-White,985,942,889,848,861,819,843,775
Division I_FBS_NonAG,Women's Tennis,Assistant Coach,Female-Black,1,2,1,2,0,0,1,1
Division I_FBS_NonAG,Women's Tennis,Assistant Coach,Female-Other,9,10,11,12,15,17,22,18
Division I_FBS_NonAG,Women's Tennis,Assistant Coach,Female-White,31,22,25,14,17,14,20,22
Division I_FBS_NonAG,Women's Tennis,Assistant Coach,Male-Black,0,0,1,0,0,0,0,0
Division I_FBS_NonAG,Women's Tennis,Assistant Coach,Male-Other,6,8,11,9,12,12,10,8
Division I_FBS_NonAG,Women's Tennis,Assistant Coach,Male-White,15,13,15,19,15,18,12,15
Division I_FBS_NonAG,Women's Tennis,Head Coach,Female-Black,0,0,0,0,0,1,1,2
Division I_FBS_NonAG,Women's Tennis,Head Coach,Female-Other,2,6,4,7,7,6,7,7
Division I_FBS_NonAG,Women's Tennis,Head Coach,Female-White,18,16,19,18,14,17,12,13
Division I_FBS_NonAG,Women's Tennis,Head Coach,Male-Black,3,3,1,2,1,3,3,1
Division I_FBS_NonAG,Women's Tennis,Head Coach,Male-Other,8,9,8,6,9,8,8,10
Division I_FBS_NonAG,Women's Tennis,Head Coach,Male-White,30,25,26,25,29,27,30,27
Division I_FBS_NonAG,Women's Tennis,Student-Athlete,Female-Black,14,17,15,13,15,19,14,12
Division I_FBS_NonAG,Women's Tennis,Student-Athlete,Female-Other,286,266,266,292,331,368,388,354
Division I_FBS_NonAG,Women's Tennis,Student-Athlete,Female-White,253,255,245,218,219,185,159,191
Division I_FBS_NonAG,"Women's Track, Indoor",Assistant Coach,Female-Black,21,20,23,18,23,24,20,14
Division I_FBS_NonAG,"Women's Track, Indoor",Assistant Coach,Female-Other,7,9,8,5,5,9,5,9
Division I_FBS_NonAG,"Women's Track, Indoor",Assistant Coach,Female-White,37,32,30,27,37,36,39,33
Division I_FBS_NonAG,"Women's Track, Indoor",Assistant Coach,Male-Black,37,39,37,36,44,48,46,44
Division I_FBS_NonAG,"Women's Track, Indoor",Assistant Coach,Male-Other,6,12,6,8,11,15,17,19
Division I_FBS_NonAG,"Women's Track, Indoor",Assistant Coach,Male-White,124,115,119,126,131,130,121,130
Division I_FBS_NonAG,"Women's Track, Indoor",Head Coach,Female-Black,4,4,4,6,3,4,4,3
Division I_FBS_NonAG,"Women's Track, Indoor",Head Coach,Female-Other,2,2,2,2,2,2,1,1
Division I_FBS_NonAG,"Women's Track, Indoor",Head Coach,Female-White,7,6,9,6,7,7,7,9
Division I_FBS_NonAG,"Women's Track, Indoor",Head Coach,Male-Black,11,11,9,5,10,8,8,10
Division I_FBS_NonAG,"Women's Track, Indoor",Head Coach,Male-Other,3,3,3,3,1,2,2,1
Division I_FBS_NonAG,"Women's Track, Indoor",Head Coach,Male-White,35,34,35,38,40,41,42,39
Division I_FBS_NonAG,"Women's Track, Indoor",Student-Athlete,Female-Black,755,730,720,735,781,802,820,791
Division I_FBS_NonAG,"Women's Track, Indoor",Student-Athlete,Female-Other,461,450,467,490,511,590,580,632
Division I_FBS_NonAG,"Women's Track, Indoor",Student-Athlete,Female-White,1441,1345,1329,1251,1290,1273,1265,1336
Division I_FBS_NonAG,"Women's Track, Indoor",Student-Athlete,Male-Black,0,0,3,0,0,0,0,0
Division I_FBS_NonAG,"Women's Track, Outdoor",Assistant Coach,Female-Black,19,21,21,20,23,24,20,13
Division I_FBS_NonAG,"Women's Track, Outdoor",Assistant Coach,Female-Other,7,9,8,6,6,10,5,9
Division I_FBS_NonAG,"Women's Track, Outdoor",Assistant Coach,Female-White,40,35,30,27,35,36,39,32
Division I_FBS_NonAG,"Women's Track, Outdoor",Assistant Coach,Male-Black,37,39,39,37,45,49,47,44
Division I_FBS_NonAG,"Women's Track, Outdoor",Assistant Coach,Male-Other,8,12,5,10,11,14,17,19
Division I_FBS_NonAG,"Women's Track, Outdoor",Assistant Coach,Male-White,122,115,119,129,128,129,120,131
Division I_FBS_NonAG,"Women's Track, Outdoor",Head Coach,Female-Black,4,3,5,5,3,4,4,3
Division I_FBS_NonAG,"Women's Track, Outdoor",Head Coach,Female-Other,1,2,2,2,3,2,1,1
Division I_FBS_NonAG,"Women's Track, Outdoor",Head Coach,Female-White,7,7,9,5,7,6,7,10
Division I_FBS_NonAG,"Women's Track, Outdoor",Head Coach,Male-Black,13,11,8,7,9,8,8,10
Division I_FBS_NonAG,"Women's Track, Outdoor",Head Coach,Male-Other,3,3,4,3,1,2,2,1
Division I_FBS_NonAG,"Women's Track, Outdoor",Head Coach,Male-White,34,34,36,38,40,42,42,38
Division I_FBS_NonAG,"Women's Track, Outdoor",Student-Athlete,Female-Black,756,728,724,738,780,805,810,788
Division I_FBS_NonAG,"Women's Track, Outdoor",Student-Athlete,Female-Other,476,449,465,489,499,607,572,629
Division I_FBS_NonAG,"Women's Track, Outdoor",Student-Athlete,Female-White,1422,1349,1336,1264,1306,1291,1257,1333
Division I_FBS_NonAG,Women's Volleyball,Assistant Coach,Female-Black,8,6,5,3,7,8,6,6
Division I_FBS_NonAG,Women's Volleyball,Assistant Coach,Female-Other,7,12,7,6,11,11,12,13
Division I_FBS_NonAG,Women's Volleyball,Assistant Coach,Female-White,55,49,50,52,50,46,48,51
Division I_FBS_NonAG,Women's Volleyball,Assistant Coach,Male-Black,3,5,6,4,2,3,4,3
Division I_FBS_NonAG,Women's Volleyball,Assistant Coach,Male-Other,15,11,10,18,18,18,15,16
Division I_FBS_NonAG,Women's Volleyball,Assistant Coach,Male-White,47,43,47,46,46,51,51,47
Division I_FBS_NonAG,Women's Volleyball,Head Coach,Female-Black,2,3,3,2,2,3,3,3
Division I_FBS_NonAG,Women's Volleyball,Head Coach,Female-Other,1,0,2,2,1,2,2,3
Division I_FBS_NonAG,Women's Volleyball,Head Coach,Female-White,25,22,23,26,26,26,29,20
Division I_FBS_NonAG,Women's Volleyball,Head Coach,Male-Black,1,2,1,1,1,1,1,1
Division I_FBS_NonAG,Women's Volleyball,Head Coach,Male-Other,7,7,7,6,7,4,3,5
Division I_FBS_NonAG,Women's Volleyball,Head Coach,Male-White,27,27,24,23,25,27,25,30
Division I_FBS_NonAG,Women's Volleyball,Student-Athlete,Female-Black,82,97,98,116,135,138,144,140
Division I_FBS_NonAG,Women's Volleyball,Student-Athlete,Female-Other,199,166,192,190,191,214,216,240
Division I_FBS_NonAG,Women's Volleyball,Student-Athlete,Female-White,675,681,654,643,680,675,675,659
Division I_FBS_NonAG,Women's Volleyball,Student-Athlete,Male-Other,0,0,2,0,0,0,0,0
Division I_FBS_NonAG,Women's Volleyball,Student-Athlete,Male-White,0,0,4,0,0,1,0,0
Division I_FBS_NonAG,Women's Water Polo,Assistant Coach,Female-Other,0,0,0,0,0,0,0,1
Division I_FBS_NonAG,Women's Water Polo,Assistant Coach,Female-White,1,2,2,1,1,2,4,5
Division I_FBS_NonAG,Women's Water Polo,Assistant Coach,Male-Other,1,1,0,1,1,0,0,0
Division I_FBS_NonAG,Women's Water Polo,Assistant Coach,Male-White,2,1,0,1,1,2,2,1
Division I_FBS_NonAG,Women's Water Polo,Head Coach,Female-White,2,2,2,2,2,2,3,3
Division I_FBS_NonAG,Women's Water Polo,Head Coach,Male-Other,0,0,1,1,0,0,0,0
Division I_FBS_NonAG,Women's Water Polo,Head Coach,Male-White,2,2,0,0,1,1,1,1
Division I_FBS_NonAG,Women's Water Polo,Student-Athlete,Female-Black,1,2,1,0,0,0,1,1
Division I_FBS_NonAG,Women's Water Polo,Student-Athlete,Female-Other,28,28,30,26,32,36,40,31
Division I_FBS_NonAG,Women's Water Polo,Student-Athlete,Female-White,63,64,46,52,38,42,65,63
Division I_FCS,Baseball,Assistant Coach,Female-Black,1,0,0,0,1,0,0,0
Division I_FCS,Baseball,Assistant Coach,Female-Other,0,0,0,0,0,1,0,0
Division I_FCS,Baseball,Assistant Coach,Female-White,7,7,8,8,0,2,0,0
Division I_FCS,Baseball,Assistant Coach,Male-Black,16,11,17,24,23,17,17,16
Division I_FCS,Baseball,Assistant Coach,Male-Other,11,12,18,13,15,11,17,16
Division I_FCS,Baseball,Assistant Coach,Male-White,225,234,225,226,231,230,239,234
Division I_FCS,Baseball,Head Coach,Male-Black,10,11,10,12,12,12,11,11
Division I_FCS,Baseball,Head Coach,Male-Other,5,4,5,4,3,3,4,6
Division I_FCS,Baseball,Head Coach,Male-White,87,89,89,88,87,86,87,84
Division I_FCS,Baseball,Student-Athlete,Male-Black,298,256,269,289,315,325,347,338
Division I_FCS,Baseball,Student-Athlete,Male-Other,394,423,467,513,531,511,594,600
Division I_FCS,Baseball,Student-Athlete,Male-White,2745,2820,2832,2766,2719,2671,2650,2602
Division I_FCS,Men's Basketball,Assistant Coach,Female-Black,4,1,0,0,1,3,1,2
Division I_FCS,Men's Basketball,Assistant Coach,Female-White,2,7,0,5,4,1,2,0
Division I_FCS,Men's Basketball,Assistant Coach,Male-Black,168,180,179,177,172,178,182,186
Division I_FCS,Men's Basketball,Assistant Coach,Male-Other,8,12,12,5,10,11,15,14
Division I_FCS,Men's Basketball,Assistant Coach,Male-White,199,194,200,202,194,192,187,184
Division I_FCS,Men's Basketball,Head Coach,Male-Black,41,44,41,37,39,42,41,44
Division I_FCS,Men's Basketball,Head Coach,Male-Other,1,1,1,1,1,0,2,1
Division I_FCS,Men's Basketball,Head Coach,Male-White,81,82,84,88,85,82,83,82
Division I_FCS,Men's Basketball,Student-Athlete,Male-Black,1146,1141,1162,1149,1157,1125,1138,1150
Division I_FCS,Men's Basketball,Student-Athlete,Male-Other,199,257,274,321,306,326,350,353
Division I_FCS,Men's Basketball,Student-Athlete,Male-White,530,535,533,513,508,503,483,460
Division I_FCS,Men's Cross Country,Assistant Coach,Female-Black,12,13,15,10,19,15,12,11
Division I_FCS,Men's Cross Country,Assistant Coach,Female-Other,4,2,2,1,1,3,2,4
Division I_FCS,Men's Cross Country,Assistant Coach,Female-White,23,32,39,40,42,38,33,40
Division I_FCS,Men's Cross Country,Assistant Coach,Male-Black,28,32,30,30,33,23,33,29
Division I_FCS,Men's Cross Country,Assistant Coach,Male-Other,10,9,10,14,10,15,13,9
Division I_FCS,Men's Cross Country,Assistant Coach,Male-White,90,73,83,98,96,86,90,83
Division I_FCS,Men's Cross Country,Head Coach,Female-Black,5,5,5,5,5,4,5,7
Division I_FCS,Men's Cross Country,Head Coach,Female-Other,0,0,0,0,0,1,2,0
Division I_FCS,Men's Cross Country,Head Coach,Female-White,5,6,11,8,6,6,9,7
Division I_FCS,Men's Cross Country,Head Coach,Male-Black,24,24,23,23,23,22,21,22
Division I_FCS,Men's Cross Country,Head Coach,Male-Other,2,1,2,2,4,2,3,1
Division I_FCS,Men's Cross Country,Head Coach,Male-White,80,83,77,79,84,83,83,84
Division I_FCS,Men's Cross Country,Student-Athlete,Male-Black,233,270,240,273,249,241,225,248
Division I_FCS,Men's Cross Country,Student-Athlete,Male-Other,240,253,288,294,327,341,385,352
Division I_FCS,Men's Cross Country,Student-Athlete,Male-White,1186,1215,1147,1139,1117,1131,1144,1139
Division I_FCS,Football-FCS,All Other Assistants,Female-Black,0,10,5,0,0,6,0,0
Division I_FCS,Football-FCS,All Other Assistants,Female-Other,0,0,1,0,0,0,0,0
Division I_FCS,Football-FCS,All Other Assistants,Female-White,7,7,17,5,21,10,0,3
Division I_FCS,Football-FCS,All Other Assistants,Male-Black,337,328,329,360,308,323,338,364
Division I_FCS,Football-FCS,All Other Assistants,Male-Other,28,27,30,33,39,30,43,60
Division I_FCS,Football-FCS,All Other Assistants,Male-White,531,538,539,523,540,546,551,526
Division I_FCS,Football-FCS,Defensive Coordinator,Male-Black,27,29,30,28,36,36,35,36
Division I_FCS,Football-FCS,Defensive Coordinator,Male-Other,4,4,6,4,4,5,1,5
Division I_FCS,Football-FCS,Defensive Coordinator,Male-White,96,103,95,105,99,92,97,92
Division I_FCS,Football-FCS,Graduate Assistant-Football,Female-Black,0,0,0,0,0,0,1,0
Division I_FCS,Football-FCS,Graduate Assistant-Football,Female-White,0,2,2,0,0,2,0,2
Division I_FCS,Football-FCS,Graduate Assistant-Football,Male-Black,32,30,24,24,38,35,35,29
Division I_FCS,Football-FCS,Graduate Assistant-Football,Male-Other,2,3,0,0,1,2,5,5
Division I_FCS,Football-FCS,Graduate Assistant-Football,Male-White,40,34,36,39,30,29,44,53
Division I_FCS,Football-FCS,Head Coach,Male-Black,28,28,26,26,25,26,26,25
Division I_FCS,Football-FCS,Head Coach,Male-Other,1,1,2,1,2,1,1,0
Division I_FCS,Football-FCS,Head Coach,Male-White,95,98,98,98,99,96,98,100
Division I_FCS,Football-FCS,Offensive Coordinator,Male-Black,19,23,15,22,21,22,20,19
Division I_FCS,Football-FCS,Offensive Coordinator,Male-Other,2,2,4,4,5,6,2,4
Division I_FCS,Football-FCS,Offensive Coordinator,Male-White,103,109,105,105,111,102,114,112
Division I_FCS,Football-FCS,Student-Athlete,Male-Black,5698,5909,5938,5932,6081,6020,6391,6531
Division I_FCS,Football-FCS,Student-Athlete,Male-Other,1093,1280,1427,1531,1528,1565,1759,1792
Division I_FCS,Football-FCS,Student-Athlete,Male-White,5698,5771,5583,5423,5451,5265,5273,5173
Division I_FCS,Men's Fencing,Assistant Coach,Female-Other,0,0,1,0,0,0,1,0
Division I_FCS,Men's Fencing,Assistant Coach,Female-White,1,2,1,1,2,3,3,3
Division I_FCS,Men's Fencing,Assistant Coach,Male-Black,0,0,0,1,1,1,0,0
Division I_FCS,Men's Fencing,Assistant Coach,Male-Other,3,6,6,4,4,7,4,6
Division I_FCS,Men's Fencing,Assistant Coach,Male-White,5,3,2,6,8,7,8,9
Division I_FCS,Men's Fencing,Head Coach,Female-White,0,0,0,1,0,0,1,1
Division I_FCS,Men's Fencing,Head Coach,Male-Other,2,2,2,1,1,1,1,1
Division I_FCS,Men's Fencing,Head Coach,Male-White,7,6,6,6,7,7,7,7
Division I_FCS,Men's Fencing,Student-Athlete,Female-Black,0,0,0,0,0,0,1,1
Division I_FCS,Men's Fencing,Student-Athlete,Female-Other,1,0,2,2,3,2,1,3
Division I_FCS,Men's Fencing,Student-Athlete,Female-White,9,11,14,8,6,6,4,7
