Division_Subdivision,Sport,Title/Position,Gender_Race/Ethnicity,2012,2013,2014,2015,2016,2017,2018,2019
Division I_FBS_AG,Men's Fencing,Head Coach,Male-White,4,3,5,6,5,5,5,6
Division I_FBS_AG,Men's Fencing,Student-Athlete,Male-Black,1,4,4,9,6,6,7,4
Division I_FBS_AG,Men's Fencing,Student-Athlete,Male-Other,45,41,55,55,60,70,80,78
Division I_FBS_AG,Men's Fencing,Student-Athlete,Male-White,84,83,103,107,101,103,100,95
Division I_FBS_AG,Men's Golf,Assistant Coach,Female-Other,0,0,1,0,0,0,0,0
Division I_FBS_AG,Men's Golf,Assistant Coach,Female-White,0,1,1,0,3,2,1,2
Division I_FBS_AG,Men's Golf,Assistant Coach,Male-Black,0,1,1,1,1,0,0,0
Division I_FBS_AG,Men's Golf,Assistant Coach,Male-Other,4,3,5,6,7,6,11,9
Division I_FBS_AG,Men's Golf,Assistant Coach,Male-White,55,53,55,57,58,63,59,57
Division I_FBS_AG,Men's Golf,Head Coach,Female-White,0,0,0,1,0,1,0,1
Division I_FBS_AG,Men's Golf,Head Coach,Male-Other,1,1,0,1,3,2,5,5
Division I_FBS_AG,Men's Golf,Head Coach,Male-White,56,57,59,61,59,60,57,58
Division I_FBS_AG,Men's Golf,Student-Athlete,Male-Black,0,1,0,3,4,5,3,6
Division I_FBS_AG,Men's Golf,Student-Athlete,Male-Other,154,166,180,173,171,183,205,213
Division I_FBS_AG,Men's Golf,Student-Athlete,Male-White,465,457,450,473,485,463,428,429
Division I_FBS_AG,Men's Gymnastics,Assistant Coach,Male-Black,0,0,0,1,1,1,1,0
Division I_FBS_AG,Men's Gymnastics,Assistant Coach,Male-Other,7,6,6,7,6,5,7,10
Division I_FBS_AG,Men's Gymnastics,Assistant Coach,Male-White,13,13,15,16,12,12,13,11
Division I_FBS_AG,Men's Gymnastics,Head Coach,Male-Other,0,0,0,0,0,0,1,2
Division I_FBS_AG,Men's Gymnastics,Head Coach,Male-White,11,10,10,10,10,10,9,8
Division I_FBS_AG,Men's Gymnastics,Student-Athlete,Male-Black,10,15,13,12,12,12,11,7
Division I_FBS_AG,Men's Gymnastics,Student-Athlete,Male-Other,55,62,64,57,58,61,58,64
Division I_FBS_AG,Men's Gymnastics,Student-Athlete,Male-White,141,137,148,133,140,134,140,133
Division I_FBS_AG,Men's Ice Hockey,Assistant Coach,Female-White,3,0,0,0,0,0,0,0
Division I_FBS_AG,Men's Ice Hockey,Assistant Coach,Male-Other,0,0,0,0,0,0,1,0
Division I_FBS_AG,Men's Ice Hockey,Assistant Coach,Male-White,12,16,20,18,18,20,18,21
Division I_FBS_AG,Men's Ice Hockey,Head Coach,Male-Other,0,0,0,0,0,1,1,1
Division I_FBS_AG,Men's Ice Hockey,Head Coach,Male-White,6,7,8,8,8,8,8,8
